user_index,poi_index,category,unixtime,dow,hour,min,distance
3,311,-,1381118432.0,Mon,13,0,0
3,291,-,1381119633.0,Mon,13,20,0
3,291,-,1381120834.0,Mon,13,40,0
3,292,-,1381122035.0,Mon,14,0,0
3,292,-,1381123235.0,Mon,14,20,0
3,272,-,1381124436.0,Mon,14,40,0
3,272,-,1381125637.0,Mon,15,0,0
3,272,-,1381126838.0,Mon,15,20,0
3,253,-,1381128039.0,Mon,15,40,0
3,253,-,1381129240.0,Mon,16,0,0
3,253,-,1381130440.0,Mon,16,20,0
3,233,-,1381131641.0,Mon,16,40,0
3,233,-,1381132842.0,Mon,17,0,0
3,233,-,1381134043.0,Mon,17,20,0
3,213,-,1381135244.0,Mon,17,40,0
3,214,-,1381136445.0,Mon,18,0,0
3,214,-,1381137645.0,Mon,18,20,0
3,214,-,1381138846.0,Mon,18,40,0
4,163,-,1387670421.0,Sun,9,0,0
4,163,-,1387671622.0,Sun,9,20,0
4,163,-,1387672823.0,Sun,9,40,0
4,163,-,1387674024.0,Sun,10,0,0
4,163,-,1387675225.0,Sun,10,20,0
4,163,-,1387676425.0,Sun,10,40,0
4,163,-,1387677626.0,Sun,11,0,0
4,163,-,1387678827.0,Sun,11,20,0
4,163,-,1387680028.0,Sun,11,40,0
4,163,-,1387681229.0,Sun,12,0,0
4,163,-,1387682430.0,Sun,12,20,0
4,163,-,1387683631.0,Sun,12,40,0
4,163,-,1387684831.0,Sun,13,0,0
4,163,-,1387686032.0,Sun,13,20,0
4,163,-,1387687233.0,Sun,13,40,0
4,163,-,1387688434.0,Sun,14,0,0
4,163,-,1387689635.0,Sun,14,20,0
4,163,-,1387690836.0,Sun,14,40,0
4,163,-,1387692037.0,Sun,15,0,0
4,163,-,1387693237.0,Sun,15,20,0
4,163,-,1387694438.0,Sun,15,40,0
4,163,-,1387695639.0,Sun,16,0,0
4,163,-,1387696840.0,Sun,16,20,0
4,163,-,1387698041.0,Sun,16,40,0
4,163,-,1387699242.0,Sun,17,0,0
4,163,-,1387700443.0,Sun,17,20,0
4,163,-,1387701643.0,Sun,17,40,0
4,163,-,1387702844.0,Sun,18,0,0
4,163,-,1387704045.0,Sun,18,20,0
4,163,-,1387705246.0,Sun,18,40,0
5,245,-,1372636816.0,Mon,9,0,0
5,265,-,1372638016.0,Mon,9,20,0
5,265,-,1372639216.0,Mon,9,40,0
5,265,-,1372640417.0,Mon,10,0,0
5,265,-,1372641617.0,Mon,10,20,0
5,265,-,1372642817.0,Mon,10,40,0
5,266,-,1372644017.0,Mon,11,0,0
5,266,-,1372645218.0,Mon,11,20,0
5,266,-,1372646418.0,Mon,11,40,0
5,267,-,1372647618.0,Mon,12,0,0
5,267,-,1372648818.0,Mon,12,20,0
5,267,-,1372650019.0,Mon,12,40,0
5,267,-,1372651219.0,Mon,13,0,0
5,288,-,1372652419.0,Mon,13,20,0
5,288,-,1372653620.0,Mon,13,40,0
5,288,-,1372654820.0,Mon,14,0,0
5,288,-,1372656020.0,Mon,14,20,0
5,289,-,1372657220.0,Mon,14,40,0
5,289,-,1372658421.0,Mon,15,0,0
5,289,-,1372659621.0,Mon,15,20,0
5,309,-,1372660821.0,Mon,15,40,0
5,310,-,1372662021.0,Mon,16,0,0
