user_index,poi_index_from,time_slot,count,prob
10,323,28,1,1.0
10,323,29,1,1.0
10,340,0,1,1.0
10,340,1,1,1.0
10,341,3,1,1.0
10,341,4,1,1.0
10,341,5,1,1.0
10,341,6,1,1.0
10,341,7,1,1.0
10,341,8,1,1.0
10,341,9,1,1.0
10,341,10,1,1.0
10,341,11,1,1.0
10,341,12,1,1.0
10,342,13,1,1.0
10,342,14,1,1.0
10,342,15,1,1.0
10,361,2,1,1.0
11,93,26,1,1.0
11,93,27,1,1.0
11,94,28,1,1.0
11,94,29,1,1.0
11,111,21,1,1.0
11,111,22,1,1.0
11,112,23,1,1.0
11,112,24,1,1.0
11,112,25,1,1.0
11,130,19,1,1.0
11,130,20,1,1.0
11,140,17,1,1.0
11,140,18,1,1.0
11,160,16,1,1.0
11,161,14,1,1.0
11,161,15,1,1.0
11,162,12,1,1.0
11,162,13,1,1.0
11,163,10,1,1.0
11,163,11,1,1.0
11,164,8,1,1.0
11,164,9,1,1.0
11,165,5,1,1.0
11,165,6,1,1.0
11,165,7,1,1.0
11,166,3,1,1.0
11,166,4,1,1.0
11,167,1,1,1.0
11,167,2,1,1.0
11,168,0,1,1.0
12,236,0,1,1.0
12,256,1,1,1.0
12,256,2,1,1.0
12,256,3,1,1.0
12,256,4,1,1.0
12,256,5,1,1.0
12,276,6,1,1.0
12,276,7,1,1.0
12,276,8,1,1.0
12,277,9,1,1.0
12,277,10,1,1.0
12,296,12,1,1.0
12,296,13,1,1.0
12,296,14,1,1.0
12,296,15,1,1.0
12,296,16,1,1.0
12,297,11,1,1.0
12,316,17,1,1.0
12,316,18,1,1.0
12,316,19,1,1.0
12,316,20,1,1.0
12,316,21,1,1.0
12,336,22,1,1.0
12,336,23,1,1.0
12,336,24,1,1.0
12,336,25,1,1.0
12,356,26,1,1.0
12,356,27,1,1.0
12,356,28,1,1.0
12,356,29,1,1.0
13,63,29,1,1.0
13,64,27,1,1.0
13,64,28,1,1.0
13,84,25,1,1.0
13,84,26,1,1.0
13,104,22,1,1.0
13,104,23,1,1.0
13,104,24,1,1.0
13,124,19,1,1.0
13,124,20,1,1.0
13,124,21,1,1.0
13,143,17,1,1.0
13,143,18,1,1.0
13,144,16,1,1.0
13,164,14,1,1.0
13,164,15,1,1.0
13,184,11,1,1.0
13,184,12,1,1.0
13,184,13,1,1.0
13,204,8,1,1.0
13,204,9,1,1.0
13,204,10,1,1.0
13,224,6,1,1.0
13,224,7,1,1.0
13,244,5,1,1.0
13,245,3,1,1.0
13,245,4,1,1.0
13,265,1,1,1.0
13,265,2,1,1.0
13,285,0,1,1.0
14,256,0,1,1.0
14,256,1,1,1.0
14,256,2,1,1.0
14,256,3,1,1.0
14,276,4,1,1.0
14,276,5,1,1.0
14,277,6,1,1.0
14,277,7,1,1.0
14,277,8,1,1.0
14,297,9,1,1.0
14,297,10,1,1.0
14,297,11,1,1.0
14,297,12,1,1.0
14,297,13,1,1.0
14,318,14,1,1.0
14,318,15,1,1.0
14,318,16,1,1.0
14,318,17,1,1.0
14,338,18,1,1.0
14,338,19,1,1.0
14,338,20,1,1.0
14,338,21,1,1.0
14,339,22,1,1.0
14,359,23,1,1.0
14,359,24,1,1.0
14,359,25,1,1.0
14,359,26,1,1.0
14,359,27,1,1.0
14,379,28,1,1.0
14,379,29,1,1.0
15,43,0,1,1.0
15,43,1,1,1.0
15,43,2,1,1.0
15,43,3,1,1.0
15,43,4,1,1.0
15,43,5,1,1.0
15,43,6,1,1.0
15,43,7,1,1.0
15,43,8,1,1.0
15,43,9,1,1.0
15,43,10,1,1.0
15,43,11,1,1.0
15,43,12,1,1.0
15,43,13,1,1.0
15,43,14,1,1.0
15,43,15,1,1.0
15,43,16,1,1.0
15,43,17,1,1.0
15,43,18,1,1.0
15,43,19,1,1.0
15,43,20,1,1.0
15,43,21,1,1.0
15,43,22,1,1.0
15,43,23,1,1.0
15,43,24,1,1.0
15,43,25,1,1.0
15,43,26,1,1.0
15,43,27,1,1.0
15,43,28,1,1.0
15,43,29,1,1.0
16,73,0,1,1.0
16,73,1,1,1.0
16,73,2,1,1.0
16,73,3,1,1.0
16,73,4,1,1.0
16,73,5,1,1.0
16,94,6,1,1.0
16,94,7,1,1.0
16,94,8,1,1.0
16,94,9,1,1.0
16,94,10,1,1.0
16,94,11,1,1.0
16,114,12,1,1.0
16,114,13,1,1.0
16,115,14,1,1.0
16,115,15,1,1.0
16,115,16,1,1.0
16,115,17,1,1.0
16,116,26,1,1.0
16,116,27,1,1.0
16,117,28,1,1.0
16,117,29,1,1.0
16,135,18,1,1.0
16,135,19,1,1.0
16,135,20,1,1.0
16,135,21,1,1.0
16,135,22,1,1.0
16,136,23,1,1.0
16,136,24,1,1.0
16,136,25,1,1.0
17,101,0,1,1.0
17,101,1,1,1.0
17,101,2,1,1.0
17,101,3,1,1.0
17,101,4,1,1.0
17,101,5,1,1.0
17,101,6,1,1.0
17,121,7,1,1.0
17,121,8,1,1.0
17,121,9,1,1.0
17,121,10,1,1.0
17,121,11,1,1.0
17,121,12,1,1.0
17,121,13,1,1.0
17,121,14,1,1.0
17,121,15,1,1.0
17,121,16,1,1.0
17,142,17,1,1.0
17,142,18,1,1.0
17,142,19,1,1.0
17,142,20,1,1.0
17,142,21,1,1.0
17,142,22,1,1.0
17,142,23,1,1.0
17,142,24,1,1.0
