tracedir, tracefile, reid_rate, -, TP-TV_syn, TP-MSE_syn, TP-JS_syn, TP-TV_tra, TP-MSE_tra, TP-JS_tra, TP-TV_uni, TP-MSE_uni, TP-JS_uni, -, TP-TV-Top50_syn, TP-MSE-Top50_syn, TP-JS-Top50_syn, TP-TV-Top50_tra, TP-MSE-Top50_tra, TP-JS-Top50_tra, TP-TV-Top50_uni, TP-MSE-Top50_uni, TP-JS-Top50_uni, -, VF-TV_syn, VF-TV_tra, VF-TV_uni, -, TM-EMD-Y_syn, TM-EMD-X_syn, TM-EMD-Y_tra, TM-EMD-X_tra, TM-EMD-Y_uni, TM-EMD-X_uni, -, CP-TV_syn, CP-MSE_syn, CP-JS_syn, CP-TV_uni, CP-MSE_uni, CP-JS_uni,
SGLT_TK,data_c150_0.25_0.75_0.1_4_syntraces.csv,0.5966,-,0.468386667,0.006621547,0.21378864,0.385533333,0.0040528,0.164669242,0.534933333,0.005657067,0.251005828,-,0.154666667,0.003113173,0.052038599,0.115033333,0.001654,0.030972308,0.1945,0.004034767,0.066940081,-,-,-,-,-,0.89992249,0.92612539,0.589243225,0.62669924,6.267082755,6.255796163,-,0.4962,0.015668267,0.211988003,0.777,0.027746222,0.433719424,-
SGLT_TK,data_c150_0.25_0.75_0.15_4_syntraces.csv,0.5122,-,0.48426,0.00707784,0.224873642,0.385533333,0.0040528,0.164669242,0.534933333,0.005657067,0.251005828,-,0.160473333,0.003356987,0.056249617,0.115033333,0.001654,0.030972308,0.1945,0.004034767,0.066940081,-,-,-,-,-,0.980259062,0.995432265,0.589243225,0.62669924,6.267082755,6.255796163,-,0.603,0.0217496,0.287170285,0.777,0.027746222,0.433719424,-
SGLT_TK,data_c150_0.25_0.75_0.2_4_syntraces.csv,0.4348,-,0.49334,0.00734264,0.23201558,0.385533333,0.0040528,0.164669242,0.534933333,0.005657067,0.251005828,-,0.163166667,0.00346624,0.059035168,0.115033333,0.001654,0.030972308,0.1945,0.004034767,0.066940081,-,-,-,-,-,0.998002063,1.059223942,0.589243225,0.62669924,6.267082755,6.255796163,-,0.651266667,0.024127911,0.325802197,0.777,0.027746222,0.433719424,-
SGLT_TK,data_c150_0.25_0.75_0.3_4_syntraces.csv,0.3228,-,0.508093333,0.007779333,0.243140508,0.385533333,0.0040528,0.164669242,0.534933333,0.005657067,0.251005828,-,0.16947,0.0037042,0.064071582,0.115033333,0.001654,0.030972308,0.1945,0.004034767,0.066940081,-,-,-,-,-,1.031295143,1.114787011,0.589243225,0.62669924,6.267082755,6.255796163,-,0.719733333,0.030446933,0.381720068,0.777,0.027746222,0.433719424,-
SGLT_TK,data_c150_0.25_0.75_0.4_4_syntraces.csv,0.2426,-,0.513973333,0.007975573,0.248968416,0.385533333,0.0040528,0.164669242,0.534933333,0.005657067,0.251005828,-,0.170533333,0.003780053,0.066203531,0.115033333,0.001654,0.030972308,0.1945,0.004034767,0.066940081,-,-,-,-,-,1.084483523,1.152527091,0.589243225,0.62669924,6.267082755,6.255796163,-,0.767466667,0.035012622,0.43281161,0.777,0.027746222,0.433719424,-
SGLT_TK,data_c150_0.25_0.75_0.6_4_syntraces.csv,0.1746,-,0.521866667,0.008248187,0.255068294,0.385533333,0.0040528,0.164669242,0.534933333,0.005657067,0.251005828,-,0.17337,0.00391988,0.068676797,0.115033333,0.001654,0.030972308,0.1945,0.004034767,0.066940081,-,-,-,-,-,1.143219159,1.237557199,0.589243225,0.62669924,6.267082755,6.255796163,-,0.809733333,0.040902222,0.472473896,0.777,0.027746222,0.433719424,-
SGLT_TK,data_c150_0.25_0.75_1_4_syntraces.csv,0.1176,-,0.525173333,0.00828296,0.259064535,0.385533333,0.0040528,0.164669242,0.534933333,0.005657067,0.251005828,-,0.174396667,0.003968627,0.06979546,0.115033333,0.001654,0.030972308,0.1945,0.004034767,0.066940081,-,-,-,-,-,1.158887555,1.275345841,0.589243225,0.62669924,6.267082755,6.255796163,-,0.830333333,0.044598222,0.499238541,0.777,0.027746222,0.433719424,-
SGLT_TK,data_c200_0.25_0.75_0_4_syntraces.csv,0.8862,-,0.41408,0.004848373,0.180204603,0.385533333,0.0040528,0.164669242,0.534933333,0.005657067,0.251005828,-,0.129096667,0.002027053,0.03730497,0.115033333,0.001654,0.030972308,0.1945,0.004034767,0.066940081,-,-,-,-,-,0.594724571,0.636653762,0.589243225,0.62669924,6.267082755,6.255796163,-,0.187733333,0.003203467,0.051831223,0.777,0.027746222,0.433719424,-
SGLT_TK,data_c200_0.25_0.75_0.05_4_syntraces.csv,0.7726,-,0.43748,0.006035093,0.195743558,0.385533333,0.0040528,0.164669242,0.534933333,0.005657067,0.251005828,-,0.137356667,0.00230244,0.042563087,0.115033333,0.001654,0.030972308,0.1945,0.004034767,0.066940081,-,-,-,-,-,1.032505581,1.024421659,0.589243225,0.62669924,6.267082755,6.255796163,-,0.345,0.009088978,0.131067046,0.777,0.027746222,0.433719424,-
SGLT_TK,data_c200_0.25_0.75_0.1_4_syntraces.csv,0.674,-,0.460906667,0.008383093,0.211867915,0.385533333,0.0040528,0.164669242,0.534933333,0.005657067,0.251005828,-,0.145583333,0.002561427,0.047856035,0.115033333,0.001654,0.030972308,0.1945,0.004034767,0.066940081,-,-,-,-,-,1.229960118,1.167819753,0.589243225,0.62669924,6.267082755,6.255796163,-,0.459866667,0.022309422,0.199147689,0.777,0.027746222,0.433719424,-
SGLT_TK,data_c200_0.25_0.75_0.15_4_syntraces.csv,0.5624,-,0.481473333,0.01211232,0.22702144,0.385533333,0.0040528,0.164669242,0.534933333,0.005657067,0.251005828,-,0.152153333,0.002766747,0.052582645,0.115033333,0.001654,0.030972308,0.1945,0.004034767,0.066940081,-,-,-,-,-,1.312525413,1.22089441,0.589243225,0.62669924,6.267082755,6.255796163,-,0.541266667,0.041856889,0.252903816,0.777,0.027746222,0.433719424,-
SGLT_TK,data_c200_0.25_0.75_0.2_4_syntraces.csv,0.5072,-,0.496913333,0.014154533,0.239418213,0.385533333,0.0040528,0.164669242,0.534933333,0.005657067,0.251005828,-,0.156346667,0.002898133,0.056538066,0.115033333,0.001654,0.030972308,0.1945,0.004034767,0.066940081,-,-,-,-,-,1.345854204,1.295184443,0.589243225,0.62669924,6.267082755,6.255796163,-,0.607066667,0.051526044,0.301520342,0.777,0.027746222,0.433719424,-
SGLT_TK,data_c200_0.25_0.75_0.3_4_syntraces.csv,0.3802,-,0.521226667,0.019579013,0.25761359,0.385533333,0.0040528,0.164669242,0.534933333,0.005657067,0.251005828,-,0.16371,0.003143,0.062234362,0.115033333,0.001654,0.030972308,0.1945,0.004034767,0.066940081,-,-,-,-,-,1.44610692,1.392685537,0.589243225,0.62669924,6.267082755,6.255796163,-,0.6776,0.075952089,0.360248219,0.777,0.027746222,0.433719424,-
SGLT_TK,data_c200_0.25_0.75_0.4_4_syntraces.csv,0.293,-,0.544533333,0.02573632,0.276174225,0.385533333,0.0040528,0.164669242,0.534933333,0.005657067,0.251005828,-,0.16986,0.003361013,0.068193138,0.115033333,0.001654,0.030972308,0.1945,0.004034767,0.066940081,-,-,-,-,-,1.572683457,1.49539053,0.589243225,0.62669924,6.267082755,6.255796163,-,0.7212,0.108479822,0.399677977,0.777,0.027746222,0.433719424,-
SGLT_TK,data_c200_0.25_0.75_0.6_4_syntraces.csv,0.194,-,0.572113333,0.034413547,0.29975591,0.385533333,0.0040528,0.164669242,0.534933333,0.005657067,0.251005828,-,0.1774,0.003611893,0.076201253,0.115033333,0.001654,0.030972308,0.1945,0.004034767,0.066940081,-,-,-,-,-,1.614895752,1.563704136,0.589243225,0.62669924,6.267082755,6.255796163,-,0.773533333,0.146282756,0.449684204,0.777,0.027746222,0.433719424,-
SGLT_TK,data_c200_0.25_0.75_1_4_syntraces.csv,0.1138,-,0.60178,0.048061067,0.327697291,0.385533333,0.0040528,0.164669242,0.534933333,0.005657067,0.251005828,-,0.184616667,0.00383228,0.085661805,0.115033333,0.001654,0.030972308,0.1945,0.004034767,0.066940081,-,-,-,-,-,1.55246826,1.440434189,0.589243225,0.62669924,6.267082755,6.255796163,-,0.8156,0.192567644,0.49515211,0.777,0.027746222,0.433719424,-
